Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","10uF","C_0402_1005Metric",30.625000,-68.730000,180.000000,top
"C2","10uF","C_0402_1005Metric",38.125000,-68.730000,180.000000,top
"C3","10uF","C_0402_1005Metric",45.625000,-68.730000,180.000000,top
"C4","10uF","C_0402_1005Metric",53.125000,-68.730000,180.000000,top
"C5","10uF","C_0402_1005Metric",25.375000,-68.730000,0.000000,top
"C6","10uF","C_0402_1005Metric",32.875000,-68.730000,0.000000,top
"C7","10uF","C_0402_1005Metric",40.375000,-68.730000,0.000000,top
"C8","10uF","C_0402_1005Metric",47.875000,-68.730000,0.000000,top
"C9","10uF","C_0402_1005Metric",27.810000,-48.840000,90.000000,top
"C10","100nF","C_0402_1005Metric",33.922500,-33.100000,90.000000,top
"C11","100nF","C_0402_1005Metric",37.502500,-46.710000,-90.000000,top
"C12","100nF","C_0402_1005Metric",40.932500,-37.455000,0.000000,top
"C13","100nF","C_0402_1005Metric",40.934500,-36.467000,0.000000,top
"C14","100nF","C_0402_1005Metric",41.980000,-41.520000,0.000000,top
"C15","100nF","C_0402_1005Metric",30.532500,-37.430000,180.000000,top
"C16","100nF","C_0402_1005Metric",30.662500,-41.130000,180.000000,top
"C17","100nF","C_0402_1005Metric",36.467746,-46.694000,-90.000000,top
"C18","100nF","C_0402_1005Metric",36.092500,-33.250000,90.000000,top
"C19","100nF","C_0402_1005Metric",35.102500,-33.250000,90.000000,top
"C20","1uF","C_0402_1005Metric",39.692500,-34.475000,0.000000,top
"C21","1uF","C_0402_1005Metric",39.702500,-35.475000,0.000000,top
"C22","10uF","C_0402_1005Metric",46.027500,-28.560000,0.000000,top
"C23","10uF","C_0402_1005Metric",50.850000,-37.027500,90.000000,top
"C24","10uF","C_0402_1005Metric",32.482500,-29.930000,-90.000000,top
"C25","30pF","C_0402_1005Metric",34.407746,-45.770000,180.000000,top
"C26","30pF","C_0402_1005Metric",29.830000,-48.800000,90.000000,top
"D1","1N4148","D_SOD-323",66.550000,-28.627500,90.000000,top
"D2","1N4148","D_SOD-323",81.550000,-28.627500,90.000000,top
"D3","1N4148","D_SOD-323",96.550000,-28.627500,90.000000,top
"D4","1N4148","D_SOD-323",111.550000,-28.627500,90.000000,top
"D5","1N4148","D_SOD-323",126.550000,-28.627500,90.000000,top
"D6","1N4148","D_SOD-323",141.550000,-28.627500,90.000000,top
"D7","1N4148","D_SOD-323",156.550000,-28.627500,90.000000,top
"D8","1N4148","D_SOD-323",171.550000,-28.627500,90.000000,top
"D9","1N4148","D_SOD-323",66.550000,-43.627500,90.000000,top
"D10","1N4148","D_SOD-323",81.550000,-43.627500,90.000000,top
"D11","1N4148","D_SOD-323",96.550000,-43.627500,90.000000,top
"D12","1N4148","D_SOD-323",111.550000,-43.627500,90.000000,top
"D13","1N4148","D_SOD-323",126.550000,-43.627500,90.000000,top
"D14","1N4148","D_SOD-323",141.550000,-43.627500,90.000000,top
"D15","1N4148","D_SOD-323",156.550000,-43.627500,90.000000,top
"D16","1N4148","D_SOD-323",171.550000,-43.627500,90.000000,top
"D17","1N4148","D_SOD-323",66.550000,-58.627500,90.000000,top
"D18","1N4148","D_SOD-323",81.550000,-58.627500,90.000000,top
"D19","1N4148","D_SOD-323",96.550000,-58.627500,90.000000,top
"D20","1N4148","D_SOD-323",111.550000,-58.627500,90.000000,top
"D21","1N4148","D_SOD-323",126.550000,-58.627500,90.000000,top
"D22","1N4148","D_SOD-323",141.550000,-58.627500,90.000000,top
"D23","1N4148","D_SOD-323",156.550000,-58.627500,90.000000,top
"D24","1N4148","D_SOD-323",171.550000,-58.627500,90.000000,top
"D25","1N4148","D_SOD-323",66.550000,-73.627500,90.000000,top
"D26","1N4148","D_SOD-323",81.550000,-73.627500,90.000000,top
"D27","1N4148","D_SOD-323",96.550000,-73.627500,90.000000,top
"D28","1N4148","D_SOD-323",111.550000,-73.627500,90.000000,top
"D29","1N4148","D_SOD-323",126.550000,-73.627500,90.000000,top
"D30","1N4148","D_SOD-323",141.550000,-73.627500,90.000000,top
"D31","1N4148","D_SOD-323",156.550000,-73.627500,90.000000,top
"D32","1N4148","D_SOD-323",171.550000,-73.627500,90.000000,top
"D33","1N4148","D_SOD-323",66.550000,-88.627500,90.000000,top
"D34","1N4148","D_SOD-323",81.550000,-88.627500,90.000000,top
"D35","1N4148","D_SOD-323",96.550000,-88.627500,90.000000,top
"D36","1N4148","D_SOD-323",111.550000,-88.627500,90.000000,top
"D37","1N4148","D_SOD-323",126.550000,-88.627500,90.000000,top
"D38","1N4148","D_SOD-323",141.550000,-88.627500,90.000000,top
"D39","1N4148","D_SOD-323",156.550000,-88.627500,90.000000,top
"D40","1N4148","D_SOD-323",171.550000,-88.627500,90.000000,top
"D41","1N4148","D_SOD-323",66.550000,-103.627500,90.000000,top
"D42","1N4148","D_SOD-323",81.550000,-103.627500,90.000000,top
"D43","1N4148","D_SOD-323",96.550000,-103.627500,90.000000,top
"D44","1N4148","D_SOD-323",111.550000,-103.627500,90.000000,top
"D45","1N4148","D_SOD-323",126.550000,-103.627500,90.000000,top
"D46","1N4148","D_SOD-323",141.550000,-103.627500,90.000000,top
"D47","1N4148","D_SOD-323",156.550000,-103.627500,90.000000,top
"D48","1N4148","D_SOD-323",171.550000,-103.627500,90.000000,top
"D49","1N4148","D_SOD-323",66.550000,-118.627500,90.000000,top
"D50","1N4148","D_SOD-323",81.550000,-118.627500,90.000000,top
"D51","1N4148","D_SOD-323",96.550000,-118.627500,90.000000,top
"D52","1N4148","D_SOD-323",111.550000,-118.627500,90.000000,top
"D53","1N4148","D_SOD-323",126.550000,-118.627500,90.000000,top
"D54","1N4148","D_SOD-323",141.550000,-118.627500,90.000000,top
"D55","1N4148","D_SOD-323",156.550000,-118.627500,90.000000,top
"D56","1N4148","D_SOD-323",171.550000,-118.627500,90.000000,top
"D57","1N4148","D_SOD-323",66.550000,-133.627500,90.000000,top
"D58","1N4148","D_SOD-323",81.550000,-133.627500,90.000000,top
"D59","1N4148","D_SOD-323",96.550000,-133.627500,90.000000,top
"D60","1N4148","D_SOD-323",111.550000,-133.627500,90.000000,top
"D61","1N4148","D_SOD-323",126.550000,-133.627500,90.000000,top
