Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C12","100nF","C_0402_1005Metric",90.250000,-65.395000,90.000000,bottom
"C13","100nF","C_0402_1005Metric",103.406000,-68.723500,0.000000,bottom
"C14","100nF","C_0402_1005Metric",91.214000,-72.025500,180.000000,bottom
"C15","100nF","C_0402_1005Metric",91.186000,-71.009500,180.000000,bottom
"C16","100nF","C_0402_1005Metric",101.980000,-70.775000,0.000000,bottom
"C17","100nF","C_0402_1005Metric",93.620000,-62.207500,0.000000,bottom
"C18","100nF","C_0402_1005Metric",96.440000,-62.212500,180.000000,bottom
"C19","100nF","C_0402_1005Metric",103.124000,-67.707500,0.000000,bottom
"C20","100nF","C_0402_1005Metric",90.875000,-67.375000,180.000000,bottom
"C21","100nF","C_0402_1005Metric",88.295000,-66.975000,0.000000,bottom
"C22","10uF","C_0402_1005Metric",82.750000,-81.730000,-90.000000,bottom
"C23","10uF","C_0402_1005Metric",93.230000,-83.000000,0.000000,bottom
"C24","1uF","C_0402_1005Metric",91.310000,-68.897500,180.000000,bottom
"C25","1uF","C_0402_1005Metric",91.290000,-69.877500,180.000000,bottom
"C26","10uF","C_0402_1005Metric",83.250000,-63.650000,90.000000,bottom
"C27","30pF","C_0402_1005Metric",101.600000,-65.647500,90.000000,bottom
"C28","30pF","C_0402_1005Metric",105.382000,-60.087500,180.000000,bottom
"D1","1N4148","D_SOD-323F",70.250000,-53.250000,90.000000,bottom
"D2","1N4148","D_SOD-323F",90.750000,-59.850000,90.000000,bottom
"D3","1N4148","D_SOD-323F",108.500000,-60.000000,90.000000,bottom
"D4","1N4148","D_SOD-323F",127.750000,-60.100000,90.000000,bottom
"D5","1N4148","D_SOD-323F",145.500000,-59.900000,90.000000,bottom
"D6","1N4148","D_SOD-323F",70.250000,-78.900000,90.000000,bottom
"D7","1N4148","D_SOD-323F",88.000000,-74.150000,-90.000000,bottom
"D8","1N4148","D_SOD-323F",107.500000,-73.650000,-90.000000,bottom
"D9","1N4148","D_SOD-323F",126.500000,-73.350000,-90.000000,bottom
"D10","1N4148","D_SOD-323F",145.500000,-73.100000,-90.000000,bottom
"J1","USB_C_ReceptacleUSB2.0","USB_C_Receptacle_Palconn_UTC16-G",70.740000,-65.805000,90.000000,bottom
"R1","27","C_0402_1005Metric",88.905000,-67.972500,0.000000,bottom
"R2","27","C_0402_1005Metric",88.910000,-68.997500,0.000000,bottom
"R3","5.1k","R_0402_1005Metric",75.765000,-64.000000,180.000000,bottom
"R4","5.1k","R_0402_1005Metric",76.015000,-69.000000,180.000000,bottom
"R5","1k","C_0402_1005Metric",91.630000,-62.050000,0.000000,bottom
"R6","1k","R_0402_1005Metric",102.870000,-66.181500,90.000000,bottom
"SW1","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",78.925000,-59.150000,180.000000,bottom
"SW2","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",97.975000,-59.150000,180.000000,bottom
"SW3","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",117.025000,-59.150000,180.000000,bottom
"SW4","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",136.075000,-59.150000,180.000000,bottom
"SW5","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",155.125000,-59.150000,180.000000,bottom
"SW6","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",78.925000,-78.200000,180.000000,bottom
"SW7","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",97.975000,-78.200000,180.000000,bottom
"SW8","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",117.025000,-78.200000,180.000000,bottom
"SW9","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",136.075000,-78.200000,180.000000,bottom
"SW10","SW_Push","Flipped_Hotswap_Kailh_MX_1.00u (C5184526)",155.125000,-78.200000,180.000000,bottom
"SW11","SW_Push","SW_SPST_TL3342",136.050000,-66.600000,90.000000,bottom
"SW12","SW_Push","SW_SPST_TL3342",112.400000,-66.600000,90.000000,bottom
"U2","AMS1117-3.3","SOT-223-3_TabPin2",87.800000,-83.050000,0.000000,bottom
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",86.670000,-60.925000,-90.000000,bottom
"U4","RP2040","RP2040-QFN-56",96.740000,-66.987500,-90.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",104.552000,-62.847500,90.000000,bottom
"C1","10uF","C_0402_1005Metric",80.995000,-66.975000,0.000000,top
"C2","10uF","C_0402_1005Metric",101.170000,-66.950000,0.000000,top
"C3","10uF","C_0402_1005Metric",117.920000,-66.950000,180.000000,top
"C4","10uF","C_0402_1005Metric",136.920000,-66.975000,180.000000,top
"C5","10uF","C_0402_1005Metric",156.080000,-67.000000,180.000000,top
"C6","10uF","C_0402_1005Metric",79.795000,-86.000000,180.000000,top
"C7","10uF","C_0402_1005Metric",98.880000,-85.975000,180.000000,top
"C8","10uF","C_0402_1005Metric",117.925000,-86.025000,180.000000,top
"C9","10uF","C_0402_1005Metric",136.970000,-86.000000,180.000000,top
"C10","10uF","C_0402_1005Metric",156.100000,-86.025000,180.000000,top
"C11","10uF","C_0402_1005Metric",88.500000,-62.400000,0.000000,top
"NP1","WS2812B","LED XL-3528RGBW-WS2812B (3.5x2.8, C2890364)",78.925000,-63.900000,0.000000,top
"NP2","WS2812B","LED XL-3528RGBW-WS2812B (3.5x2.8, C2890364)",97.975000,-63.900000,0.000000,top
"NP3","WS2812B","LED XL-3528RGBW-WS2812B (3.5x2.8, C2890364)",117.025000,-63.900000,0.000000,top
