Comment,Designator,Footprint,LCSC
10uF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C22,C23,C26",0402,C15525
100nF,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C21",0402,C1525
1uF,"C24,C25",0402,C52923
30pF,"C27,C28",0402,C1570
1N4148,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10",SOD-323F,C2128
USB-C Receptacle,J1,Palconn UTC16-G,C165948
WS2812B,"NP1,NP2,NP3,NP4,NP5,NP6,NP7,NP8,NP9,NP10","Kodachi:LED XL-3528RGBW-WS2812B (3.5x2.8, C2890364)",C2890364
27 Ohm,"R1,R2",0402,C25100
5.1K Ohm,"R3,R4",0402,C25905
1K Ohm,"R5,R6",0402,C11702
MX hotswap socket,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10",Kailh MX hotswap socket,C5184526
Pushbutton,"SW11,SW12",SPST TL3342,C318884
74AHC1G125,U1,SOT-353,C151417
AMS1117-3.3,U2,SOT-223,C6186
W25Q128JVS,U3,SOIC-8,C97521
RP2040,U4,QFN-56,C2040
12MHz,Y1,SMD 3225-4Pin,C9002
